;Id da Delegacia;Número do Bo;Ano do BO;Nome da Delegacia;Data do Sinistro;Dia do Sinistro;Mês do Sinistro;Ano do Sinistro;Ano/Mês do Sinistro;Dia da Semana;Hora do Sinistro;Turno;Município;Região Administrativa;Logradouro;Númeral / KM;Jurisdição;Administração;Conservação;Tipo de local do sinistro;latitude;longitude;Tipo de via;Pedestre envolvido;Automóvel envolvido;Bicicleta envolvida;Caminhão envolvido;Motocicleta envolvida;Ônibus  envolvido;Outros veículos envolvidos;Veículo envolvido não disponível;Tempo entre o Sinistro e o Óbito;Atropelamento;Capotamento;Choque;Colisão frontal;Colisão lateral;Colisão transversal;Colisão traseira;Outras colisões;Engavetamento;Tombamento;Outros sinistros;Quantidade de vítimas fatais;Tipo de Registro
251;80504;10238;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-10-22 00:00:00;22;10;2018;2018/10;SEGUNDA;15;TARDE;MARILIA;MARÍLIA;SP 333;342,859;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,29904147;-50,02275265;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
551;100919;9486;2022;CPJ RIBEIRAO PRETO;2022-10-08 00:00:00;8;10;2022;2022/10;SÁBADO;11;MANHA;MARILIA;MARÍLIA;SP 333;305,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,03511496;-49,84120373;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;1;0;0;0;1;SINISTRO FATAL
873;80504;4894;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-05-16 00:00:00;16;5;2016;2016/05;SEGUNDA;23;NOITE;MARILIA;MARÍLIA;SP 294;447;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23158232;-49,93146959;RODOVIAS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
882;80504;2490;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-03-11 00:00:00;11;3;2018;2018/03;DOMINGO;20;NOITE;MARILIA;MARÍLIA;SP 294;448,5;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22870059;-49,94646125;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;1;0;0;0;1;SINISTRO FATAL
1316;80504;1007437445;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-10-09 00:00:00;9;10;2023;2023/10;SEGUNDA;20;NOITE;MARILIA;MARÍLIA;AVENIDA PEDRO DE TOLÊDO;2672;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,20078463;-49,9556436;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1345;80504;1006730702;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-06 00:00:00;6;8;2023;2023/08;DOMINGO;15;TARDE;MARILIA;MARÍLIA;SP 333;341,1;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,29043929;-50,01169317;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;1;0;1;SINISTRO FATAL
1346;80504;1002343755;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-08-24 00:00:00;24;8;2022;2022/08;QUARTA;1;MADRUGADA;MARILIA;MARÍLIA;AVENIDA REPUBLICA;2457;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,20149417;-49,9545073;VIAS MUNICIPAIS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;1;0;0;0;0;0;0;1;SINISTRO FATAL
1627;80504;1052;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-01-31 00:00:00;31;1;2018;2018/01;QUARTA;0;MADRUGADA;MARILIA;MARÍLIA;SP 294;446,1;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23161959;-49,92219911;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1657;80504;1058;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-30 00:00:00;30;1;2015;2015/01;SEXTA;11;MANHA;MARILIA;MARÍLIA;RUA AZIZ ATALA;0;MUNICIPAL;PREFEITURA;PREFEITURA;NAO DISPONIVEL;-22,2262303;-49,93633631;VIAS MUNICIPAIS;0;0;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
1723;80504;1006957477;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-09-01 00:00:00;1;9;2023;2023/09;SEXTA;11;MANHA;MARILIA;MARÍLIA;AVENIDA SANCHES CIBANTOS;1;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,18780824;-49,96079061;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
2146;100907;301;2019;DEL.SEC.SERTÃOZINHO PLANTÃO;2019-01-25 00:00:00;25;1;2019;2019/01;SEXTA;13;TARDE;MARILIA;MARÍLIA;SP 333;331,9;ESTADUAL;DER;DR07 - ASSIS;PUBLICO;-22,21820992;-49,96566456;RODOVIAS;1;0;0;1;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
2348;80504;11668;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-11-15 00:00:00;15;11;2015;2015/11;DOMINGO;0;NAO DISPONIVEL;MARILIA;MARÍLIA;RUA AURELIO LUIS DE OLIVEIRA;604;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,217584;-49,950529;VIAS MUNICIPAIS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
2384;80504;7390;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-07-05 00:00:00;5;7;2017;2017/07;QUARTA;18;NOITE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
2434;80504;1078;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-31 00:00:00;31;1;2015;2015/01;SÁBADO;0;MADRUGADA;MARILIA;MARÍLIA;SP 294;440;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,2198682;-49,86876396;RODOVIAS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
3244;80504;13666;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-12-31 00:00:00;31;12;2019;2019/12;TERÇA;21;NOITE;MARILIA;MARÍLIA;AVENIDA MARIA FERNANDES CAVALARE;2399;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,236508;-49,977956;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
3259;80504;4432;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-05-06 00:00:00;6;5;2018;2018/05;DOMINGO;4;MADRUGADA;MARILIA;MARÍLIA;SP 294;461,7;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15966121;-49,99834236;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;1;0;0;0;0;0;0;0;1;SINISTRO FATAL
3332;80504;12209;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-11-09 00:00:00;9;11;2017;2017/11;QUINTA;14;TARDE;MARILIA;MARÍLIA;SP 333;319;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,11192434;-49,92577687;RODOVIAS;0;0;0;1;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
3600;80504;4424;2016;DEL.SEC.MARÍLIA PLANTÃO;2016-05-04 00:00:00;4;5;2016;2016/05;QUARTA;11;MANHA;MARILIA;MARÍLIA;RUA AZIZ ATALA;233;MUNICIPAL;PREFEITURA;PREFEITURA;NAO DISPONIVEL;-22,226734;-49,934707;VIAS MUNICIPAIS;0;0;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
3952;80504;1007149409;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-09-17 00:00:00;17;9;2023;2023/09;DOMINGO;23;NOITE;MARILIA;MARÍLIA;SP 294;453;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,22068602;-49,96652563;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
3990;80504;1002410477;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-08-29 00:00:00;29;8;2022;2022/08;SEGUNDA;18;NOITE;MARILIA;MARÍLIA;SP 294;448,55;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22886275;-49,9469434;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;1;0;0;0;0;0;0;1;SINISTRO FATAL
4354;80504;4448;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-04-22 00:00:00;22;4;2017;2017/04;SÁBADO;18;NOITE;MARILIA;MARÍLIA;SP 294;454,6;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,20729807;-49,96356792;RODOVIAS;0;1;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
4388;80504;1006593458;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-08-03 00:00:00;3;8;2023;2023/08;QUINTA;20;NOITE;MARILIA;MARÍLIA;SP 294;442,4;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22324804;-49,88397298;RODOVIAS;0;1;1;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
4415;80504;11259;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-10-10 00:00:00;10;10;2017;2017/10;TERÇA;0;NAO DISPONIVEL;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;1;0;1;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
4418;80504;4445;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-05-03 00:00:00;3;5;2015;2015/05;DOMINGO;6;MANHA;MARILIA;MARÍLIA;AVENIDA SAMPAIO VIDAL;388;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,21955;-49,948274;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
4552;80504;2041;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-02-24 00:00:00;24;2;2017;2017/02;SEXTA;4;MADRUGADA;MARILIA;MARÍLIA;SP 333;311,4;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,07306736;-49,87365006;RODOVIAS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
4704;80504;6837;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-09-20 00:00:00;20;9;2020;2020/09;DOMINGO;18;NOITE;MARILIA;MARÍLIA;AVENIDA ELIÉSER ROCHA;600;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,152016;-49,961177;VIAS MUNICIPAIS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;2;SINISTRO FATAL
4755;80504;8393;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-10-15 00:00:00;15;10;2020;2020/10;QUINTA;0;NAO DISPONIVEL;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;1;0;0;0;0;1;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
5213;80504;6863;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-09-07 00:00:00;7;9;2021;2021/09;TERÇA;8;MANHA;MARILIA;MARÍLIA;SP 294;450,3;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22890518;-49,96385028;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;1;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
5278;80504;6861;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-06-22 00:00:00;22;6;2017;2017/06;QUINTA;18;NOITE;MARILIA;MARÍLIA;RUA NOVE DE JULHO;2275;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,221371;-49,959504;VIAS MUNICIPAIS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
5653;80504;7830;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-10-07 00:00:00;7;10;2021;2021/10;QUINTA;22;NOITE;MARILIA;MARÍLIA;SP 294;442,15;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22330456;-49,88503074;RODOVIAS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
5756;80504;12660;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-12-25 00:00:00;25;12;2018;2018/12;TERÇA;15;TARDE;MARILIA;MARÍLIA;SP 294;465,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15910234;-50,03597942;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;3;SINISTRO FATAL
5882;80504;2090;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-03-12 00:00:00;12;3;2022;2022/03;SÁBADO;3;MADRUGADA;MARILIA;MARÍLIA;AVENIDA RIO BRANCO;642;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,22211688;-49,95378169;VIAS MUNICIPAIS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;1;0;0;0;0;0;0;1;SINISTRO FATAL
5907;80504;1010165060;2024;DEL.SEC.MARÍLIA PLANTÃO;2024-05-02 00:00:00;2;5;2024;2024/05;QUINTA;5;MADRUGADA;MARILIA;MARÍLIA;RUA MARIÁPOLIS;549;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,17706562;-49,96059103;VIAS MUNICIPAIS;1;0;0;0;0;0;0;1;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
5949;80504;7823;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-08-14 00:00:00;14;8;2018;2018/08;TERÇA;6;MANHA;MARILIA;MARÍLIA;VICINAL JOSÉ AMERICO DE OLIVEIRA;111;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;;;VIAS MUNICIPAIS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;1;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
6069;80504;9380;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-08-25 00:00:00;25;8;2017;2017/08;SEXTA;4;MADRUGADA;MARILIA;MARÍLIA;SP 294;447,3;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23158232;-49,93146959;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
6196;80504;4481;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-06-17 00:00:00;17;6;2021;2021/06;QUINTA;1;MADRUGADA;MARILIA;MARÍLIA;SP 294;445,5;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,23065321;-49,9174382;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
6463;80504;3059;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-03-26 00:00:00;26;3;2019;2019/03;TERÇA;11;MANHA;MARILIA;MARÍLIA;SP 294;462,5;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15740944;-50,00502095;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
6665;80504;1003418529;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-11-20 00:00:00;20;11;2022;2022/11;DOMINGO;22;NOITE;MARILIA;MARÍLIA;SP 333;304,85;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,03005367;-49,83356991;RODOVIAS;0;0;0;1;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
6699;80504;12152;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-11-28 00:00:00;28;11;2015;2015/11;SÁBADO;0;NAO DISPONIVEL;MARILIA;MARÍLIA;SP 294;464;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15722877;-50,0189621;RODOVIAS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7046;80504;610;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-01-18 00:00:00;18;1;2015;2015/01;DOMINGO;0;NAO DISPONIVEL;MARILIA;MARÍLIA;RUA AZIZ ATALA;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,2262303;-49,93633631;VIAS MUNICIPAIS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7067;80504;12162;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-12-11 00:00:00;11;12;2018;2018/12;TERÇA;7;MANHA;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;1;0;1;SINISTRO FATAL
7171;80504;10602;2015;DEL.SEC.MARÍLIA PLANTÃO;2015-10-17 00:00:00;17;10;2015;2015/10;SÁBADO;10;MANHA;MARILIA;MARÍLIA;AVENIDA VICENTE FERREIRA;885;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,21239;-49,939298;VIAS MUNICIPAIS;1;0;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7287;80504;7876;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-10-19 00:00:00;19;10;2020;2020/10;SEGUNDA;7;MANHA;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;PUBLICO;;;NAO DISPONIVEL;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;1;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7337;80504;4010;2021;DEL.SEC.MARÍLIA PLANTÃO;2021-05-28 00:00:00;28;5;2021;2021/05;SEXTA;18;NOITE;MARILIA;MARÍLIA;SP 294;462,6;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,15729007;-50,00592655;RODOVIAS;1;1;0;0;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7400;80504;5474;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-05-18 00:00:00;18;5;2017;2017/05;QUINTA;18;NOITE;MARILIA;MARÍLIA;SP 333;306;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,03771776;-49,84512822;RODOVIAS;0;1;0;0;0;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;2;SINISTRO FATAL
7623;80504;1509;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-02-11 00:00:00;11;2;2017;2017/02;SÁBADO;2;MADRUGADA;MARILIA;MARÍLIA;RUA NOVE DE JULHO;395;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,213895;-49,942256;VIAS MUNICIPAIS;0;0;0;0;1;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
7671;80504;1008224177;2023;DEL.SEC.MARÍLIA PLANTÃO;2023-11-24 00:00:00;24;11;2023;2023/11;SEXTA;17;TARDE;MARILIA;MARÍLIA;NAO DISPONIVEL;0;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;NAO DISPONIVEL;;;NAO DISPONIVEL;0;0;1;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;1;1;SINISTRO FATAL
7744;80504;12148;2018;DEL.SEC.MARÍLIA PLANTÃO;2018-12-07 00:00:00;7;12;2018;2018/12;SEXTA;15;TARDE;MARILIA;MARÍLIA;AVENIDA JOAO RAMALHO;2400;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,248586;-49,932186;VIAS MUNICIPAIS;1;0;0;0;1;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
8269;80504;668;2017;DEL.SEC.MARÍLIA PLANTÃO;2017-01-19 00:00:00;19;1;2017;2017/01;QUINTA;13;TARDE;MARILIA;MARÍLIA;AVENIDA MEN DE SA;0;MUNICIPAL;PREFEITURA;PREFEITURA;PUBLICO;-22,245454;-49,928513;VIAS MUNICIPAIS;1;0;0;0;0;1;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
8631;80504;3085;2019;DEL.SEC.MARÍLIA PLANTÃO;2019-03-27 00:00:00;27;3;2019;2019/03;QUARTA;4;MADRUGADA;MARILIA;MARÍLIA;SP 294;447,9;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22736654;-49,94052472;RODOVIAS;0;1;0;0;0;0;1;0;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;1;1;SINISTRO FATAL
8685;80504;1001696409;2022;DEL.SEC.MARÍLIA PLANTÃO;2022-07-19 00:00:00;19;7;2022;2022/07;TERÇA;18;NOITE;MARILIA;MARÍLIA;SP 294;444,8;ESTADUAL;CONCESSIONÁRIA-ARTESP;EIXOSP - PIPA;PUBLICO;-22,22901105;-49,90987502;RODOVIAS;0;1;0;1;0;0;0;0;ATÉ 30 DIAS;1;0;0;0;0;0;0;0;0;0;0;1;SINISTRO FATAL
8936;80504;682;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-01-18 00:00:00;18;1;2020;2020/01;SÁBADO;22;NOITE;MARILIA;MARÍLIA;SP 294;454;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,21241291;-49,96377318;RODOVIAS;0;0;0;0;1;0;0;0;ATÉ 30 DIAS;0;0;0;0;0;0;1;0;0;0;0;1;SINISTRO FATAL
9790;80504;1577;2020;DEL.SEC.MARÍLIA PLANTÃO;2020-02-11 00:00:00;11;2;2020;2020/02;TERÇA;6;MANHA;MARILIA;MARÍLIA;SP 333;308,05;ESTADUAL;CONCESSIONÁRIA-ARTESP;ENTREVIAS;PUBLICO;-22,04801449;-49,85839363;RODOVIAS;0;1;0;0;0;0;0;1;ATÉ 30 DIAS;0;0;0;0;0;0;0;0;0;0;1;1;SINISTRO FATAL
